name,openHoursPerWeek,ECP,dhb-region,latitude,longitude,depot
Windsor Medical Pharmacy,50.0,True,Waitematā DHB,-36.73261899999999,174.714609,Community
Golden Bay Pharmacy,42.5,True,Nelson Marlborough,-40.85992479999999,172.80582530000004,Community
Life Pharmacy Motueka,49.0,True,Nelson Marlborough,-41.1117319,173.01131179999993,Community
Westshore Pharmacy,43.0,True,Hawkes Bay,-39.4775552,176.88156449999997,Community
Andrew Spence Pharmacy,52.0,True,Hawkes Bay,-39.5083352,176.8871347,Community
Greenmeadows Pharmacy,46.5,True,Hawkes Bay,-39.5265849,176.861155,Community
Marewa Pharmacy,42.5,True,Hawkes Bay,-39.5000446,176.9034573,Community
Raureka Pharmacy,42.5,False,Hawkes Bay,-39.6390335,176.8256407,Community
Barrington Medical Centre Pharmacy,50.0,True,Canterbury,-43.5571715,172.6203681,Community
Unichem Kiripaka Buchanans Pharmacy,45.0,True,Northland,-35.6873131,174.32664139999997,Community
Unichem Buchanans Pharmacy,49.0,True,Northland,-35.68292889999999,174.32198019999998,Community
Unichem Mansfield Buchanans Pharmacy,45.0,True,Northland,-35.7200861,174.3199052,Community
Unichem Otahuhu Health Centre Pharmacy,46.5,True,Central Auckland,-36.94697459999999,174.84563690000004,Community
Woolworths Pharmacy Lincoln Road,77.0,True,Waitematā DHB,-36.857244,174.63114870000004,Community
Ahuriri Pharmacy,46.5,True,Hawkes Bay,-39.4799909,176.8986603,Community
Albany St Pharmacy,48.0,True,Southern,-45.8661204,170.5087744,Community
Moera Pharmacy,45.5,True,Hutt,-41.2261609,174.9055786,Community
Smartcare Pharmacy,45.75,True,Central Auckland,-36.9004,174.85550050000006,Community
Kiwi Pharmacy Yaldhurst,45.0,True,Canterbury,-43.51863999114732,172.5251387024446,Community
Highland Pharmacy Depot,40.0,False,Southern,-45.91281300000001,169.68738929999995,Depot
Highland Pharmacy Central,52.0,True,Southern,-45.5408876,169.31475269999999,Community
Life Pharmacy Takapuna,65.0,True,Waitematā DHB,-36.7875749,174.7700345,Community
Woolworths Pharmacy Highland Park ,59.0,True,CM Health,-36.8986258,174.9082739,Community
Unichem Hamilton East Pharmacy,50.0,True,Waikato,-37.7896314,175.29238409999994,Community
Baillie and Lewis Pharmacy,61.0,True,Southern,-46.42818259999999,168.361805,Community
Unichem Knox Pharmacy,58.0,True,Southern,-45.8678529,170.5073532,Community
Clinic Pharmacy,61.0,True,Central Auckland,-36.8738338,174.7838921,Community
Gladstone Pharmacy (Parnell),52.0,True,Central Auckland,-36.8525864,174.78611039999998,Community
Kiwi Pharmacy Highsted,42.5,True,Canterbury,-43.4733475,172.5950719,Community
Mt Eden Pharmacy,61.0,True,Central Auckland,-36.881885,174.76196400000003,Community
Pharmacy 455,45.0,True,Central Auckland,-36.8832403,174.76169240000002,Community
Pharmacy Three Rivers - Gisborne,58.0,True,Tairawhiti,-38.6699891,178.025246,Community
Stratford Pharmacy,44.5,True,Taranaki,-39.3390255,174.2843037,Community
Tahunanui Pharmacy,47.0,True,Nelson Marlborough,-41.2811762,173.24970859999996,Community
Unichem Awapuni Pharmacy,42.5,True,MidCentral,-40.3735806,175.5923104,Community
Vaiola Pharmacy,48.0,True,Central Auckland,-36.924081,174.7814513,Community
Crawford House Pharmacy,52.5,True,CM Health,-36.8919603,174.92929049999998,Community
Life Pharmacy Hornby,65.0,True,Canterbury,-43.5425839,172.5253403,Community
Unichem Cashel Pharmacy,59.0,True,Canterbury,-43.53277629999999,172.63583140000003,Community
Pahiatua Pharmacy,45.0,True,MidCentral,-40.4528875,175.84155350000003,Community
Swanson Pharmacy,51.5,True,Waitematā DHB,-36.8658795,174.57986729999993,Community
Waipu Pharmacy,47.0,True,Northland,-35.9846759,174.4460508,Community
Fencibles Pharmacy,42.5,True,CM Health,-36.895417,174.93136219999997,Community
Life Pharmacy Orrs,54.25,True,Northland,-35.725773,174.32092439999997,Community
Health New Lynn 7 Day Pharmacy Ltd,64.5,True,Waitematā DHB,-36.9087926,174.6835453,Community
Southmall Pharmacy,61.0,True,CM Health,-37.0225053,174.8967004,Community
Unichem Hillpark Pharmacy,42.5,True,CM Health,-37.01350850000001,174.90041359999998,Community
Addington Pharmacy,47.5,True,Canterbury,-43.5424395,172.61404330000005,Community
Kelburn Pharmacy,55.0,True,Wellington,-41.285637,174.76765899999998,Community
Kingsland Pharmacy,47.5,True,Central Auckland,-36.8723937,174.74346289999994,Community
Pegasus Pharmacy,45.5,True,Canterbury,-43.31404790000001,172.69767809999996,Community
St Martins Pharmacy,48.5,True,Canterbury,-43.5584292,172.65425389999996,Community
Milton Pharmacy Ltd,43.0,True,Southern,-46.12129119999999,169.95900270000004,Community
Wicksteed Pharmacy,45.0,True,Whanganui,-39.9291312,175.04802129999996,Community
Unichem Brookfield Pharmacy,49.0,True,Bay of Plenty,-37.6898366,176.1350264,Community
Unichem Newtown Mall Pharmacy,51.5,True,Wellington,-41.3145107,174.78030089999993,Community
Unichem Katikati Health Pharmacy,42.5,True,Bay of Plenty,-37.55271380000001,175.92680889999997,Community
Unichem Katikati Pharmacy,46.5,True,Bay of Plenty,-37.55287719999999,175.9173594,Community
Unichem Chemist Shop,60.0,True,MidCentral,-40.35956530000001,175.61116470000002,Community
Roberts Ngaruawahia Pharmacy,40.0,True,Waikato,-37.6673243,175.150484,Community
Selwyn Community Pharmacy,48.0,True,Canterbury,-43.6404544,172.48476140000002,Community
Matakana Pharmacy,62.0,True,Waitematā DHB,-36.3520952,174.7175744,Community
Far North Pharmacy,42.5,True,Northland,-35.1148291,173.2648269,Community
Dominion Road Pharmacy,40.0,True,Central Auckland,-36.87258219999999,174.75188549999996,Community
Life Pharmacy Donna Kerr,75.5,True,Southern,-46.39593,168.36537910000004,Community
Mosgiel Health Centre Pharmacy,45.0,True,Southern,-45.8828845,170.34663690000002,Community
Fairy Springs Pharmacy,45.0,True,Lakes,-38.1155362,176.22585559999993,Community
Unichem Pharmacy 81,42.5,True,Lakes,-38.6886866,176.0735597,Community
Tiaho Pharmacy,40.0,True,Lakes,-38.1296298,176.3024154,Community
The Crossing Pharmacy,59.5,True,Bay of Plenty,-37.7371298,176.1062486,Community
Don Street Pharmacy ,45.0,True,Southern,-46.410961,168.35447009999996,Community
Castle Chemists,45.5,True,Wellington,-41.3121916,174.7795881,Community
Unichem Pāpāmoa Pharmacy,42.5,True,Bay of Plenty,-37.7013066,176.282366,Community
Methven Pharmacy,45.0,False,Canterbury,-43.63366449999999,171.64693409999995,Community
Botany Road Pharmacy,47.5,True,CM Health,-36.92474869999999,174.91280400000005,Community
Unichem Aviemore Pharmacy,50.0,True,CM Health,-36.89961399999999,174.90510140000004,Community
Linwood Village Pharmacy,40.0,True,Canterbury,-43.53106664832302,172.65679998710254,Community
Woolworths Pharmacy Ponsonby,82.0,True,Central Auckland,-36.8592402,174.7493478,Community
Mataura Prescription and Gifts ,35.0,False,Southern,-46.1945005,168.8667301,Community
Bay Health Pharmacy,47.5,True,Bay of Plenty,-37.707921146295746,176.14744228212442,Community
Fiordland Community Pharmacy,50.0,True,Southern,-45.41600709999999,167.71481389999997,Community
Henderson Discount Pharmacy,48.0,True,Waitematā DHB,-36.87894779999999,174.6318222,Community
Harts Pharmacy,45.0,True,Waitematā DHB,-36.3976205,174.66426769999998,Community
McLaren Park Pharmacy,51.5,True,Waitematā DHB,-36.8965393,174.6265667,Community
Mangere Health Centre Pharmacy,47.5,True,CM Health,-36.9715412,174.7986923,Community
Mangere Pharmacy,51.5,True,CM Health,-36.96960809999999,174.79887789999998,Community
Waimate Pharmacy,48.0,True,South Canterbury,-44.73334910000001,171.04696669999998,Community
Unichem Remarkables Pharmacy,65.5,True,Southern,-45.02657869999999,168.74221349999993,Community
Unichem Jack's Point Pharmacy,42.5,True,Southern,-45.07549051261395,168.74519348144534,Community
Union Street Pharmacy,47.5,True,Canterbury,-43.5089128,172.72748869999998,Community
Unichem Rolleston Village Pharmacy,49.0,True,Canterbury,-43.5967006,172.3824743,Community
Kaeo Chemist Ltd,25.5,True,Northland,-35.0998666,173.7789259,Community
Waihi Beach Chemist,52.0,True,Bay of Plenty,-37.4121772,175.94399299999998,Community
Hunt's Pharmacy Mangere East,46.5,True,CM Health,-36.9665258,174.82512250000002,Community
Woolworths Pharmacy Mt Eden,77.0,True,Central Auckland,-36.8763872,174.7522252,Community
Life Pharmacy Manukau,67.5,True,CM Health,-36.990874450361204,174.88170644254473,Community
Oakura Pharmacy,48.0,True,Taranaki,-39.11554870000001,173.9569765,Community
Unichem MainStreet Taupo Pharmacy,58.0,True,Lakes,-38.6874276,176.06970590000003,Community
Unichem Pakuranga Pharmacy,52.5,True,CM Health,-36.91531839999999,174.8728314,Community
Highbrook Pharmacy,45.0,True,CM Health,-36.9369806,174.8802871,Community
Wises Pharmacy,54.5,True,Canterbury,-43.90251,171.75166869999998,Community
Unichem Southcity Pharmacy,45.5,True,Southern,-46.4272605,168.3616579,Community
Taita Pharmacy,45.5,True,Hutt,-41.1795419,174.96045290000006,Community
SaveMart Pharmacy,52.5,True,Central Auckland,-36.9025975,174.7423675,Community
Life Pharmacy Commercial Bay,58.0,True,Central Auckland,-36.8436816,174.7660924,Community
Owhata Medical Centre Pharmacy,45.0,True,Lakes,-38.1308092,176.30012540000007,Community
Roses Unichem Pharmacy,47.5,True,MidCentral,-40.3492282,175.6235943,Community
Howick House Pharmacy,47.5,True,CM Health,-36.89577899999999,174.93117830000006,Community
Life Pharmacy Prices,61.5,True,Nelson Marlborough,-41.27456129999999,173.28703810000002,Community
Life Pharmacy Bayfair,69.0,True,Bay of Plenty,-37.67529489999999,176.22276290000002,Community
Unichem Marsden Village Pharmacy,42.5,True,Wellington,-41.282739,174.74540690000003,Community
Cannons Creek Pharmacy,45.5,True,Wellington,-41.142415,174.8650364,Community
Berrys Health Centre Pharmacy,48.0,True,MidCentral,-40.6321284,175.28612959999998,Community
Herne Bay Pharmacy,51.5,True,Central Auckland,-36.8457023,174.73535040000002,Community
Fry's Pharmacy,45.0,True,Nelson Marlborough,-41.335131211972275,173.17955717035454,Community
Unichem Orrs Pharmacy Dargaville,52.0,True,Northland,-35.9421732,173.8695282,Community
Unichem Wynyard Pharmacy,42.5,True,Central Auckland,-36.8446092,174.75483459999998,Community
Antidote North,42.5,True,Southern,-45.8633913,170.5099116,Community
Mount Pharmacy,52.0,False,Bay of Plenty,-37.6374997,176.18290179999997,Community
Unichem Highfield Mall Pharmacy,51.0,True,South Canterbury,-44.3901301,171.22647959999995,Community
Bargain Chemist Mt Wellington,84.0,True,Central Auckland,-36.90837610000001,174.83738790000007,Community
Life Pharmacy Matamata,47.75,True,Waikato,-37.8103937,175.77309620000005,Community
Royal Heights Pharmacy,49.0,True,Waitematā DHB,-36.8328634,174.62307080000005,Community
Unichem Te Kuiti Pharmacy,43.0,True,Waikato,-38.3339748,175.16491989999997,Community
Avalon Pharmacy Hamilton,45.0,True,Waikato,-37.77978799999999,175.24912930000005,Community
Unichem Dinsdale Pharmacy,49.0,True,Waikato,-37.79526579999999,175.24668129999998,Community
Kawerau Pharmacy,42.5,True,Bay of Plenty,-38.0854302,176.70193110000002,Community
Unichem Harbour View Pharmacy,44.5,True,Waitematā DHB,-36.85454420000001,174.65095729999996,Community
Unichem Peninsula Pharmacy,56.5,True,Waitematā DHB,-36.8421999,174.6514783,Community
Vercoe Road Pharmacy,45.0,True,Waikato,-37.7650232,175.2600367,Community
Maraenui Pharmacy,42.5,False,Hawkes Bay,-39.5153329,176.90559870000004,Community
Unichem Panmure Pharmacy,50.0,True,Central Auckland,-36.8995836,174.85407570000007,Community
Chemist Warehouse LynnMall,91.0,True,Waitematā DHB,-36.9078599,174.6852085,Community
Godderidges Pharmacy,40.0,True,Taranaki,-39.7637226,174.63353889999996,Community
Blockhouse Bay Pharmacy,50.5,True,Central Auckland,-36.922244,174.7015963,Community
Queen St Medical Centre Pharmacy,45.0,True,CM Health,-36.9462635,174.84423449999997,Community
Unichem Crisps Pharmacy,48.0,True,Canterbury,-43.49957000000001,172.58612549999998,Community
Unichem Clevedon Road Pharmacy,42.5,True,CM Health,-37.0584052,174.95326239999997,Community
Robertsons Pharmacy Hawera,45.5,True,Taranaki,-39.5890479,174.2832989,Community
Te Ngae Pharmacy,45.0,True,Lakes,-38.1484536,176.27641960000005,Community
Gopal's Pharmacy,49.0,True,Central Auckland,-36.86470559999999,174.7376719,Community
Devonport Health Centre Pharmacy,48.0,True,Waitematā DHB,-36.8300638,174.7981033,Community
Unichem UFS Pharmacy,42.5,True,Southern,-46.412847,168.35129940000002,Community
North Otago Pharmacy,57.0,True,Southern,-45.0960529,170.97216950000006,Community
Bentley Ave Pharmacy,59.0,True,Waitematā DHB,-36.7810017,174.7219662,Community
Unichem Lunn Ave Pharmacy,84.0,True,Central Auckland,-36.8884092,174.8317548,Community
Chemist Warehouse Ashburton,74.0,True,Canterbury,-43.9056965,171.7428588,Community
Chemist Warehouse Auckland - Lower Queen St,91.0,True,Central Auckland,-36.84754,174.7654835,Community
Chemist Warehouse Auckland Airport Shopping Centre,89.0,True,CM Health,-36.9969282,174.78883199999996,Community
Chemist Warehouse Bayfair,91.0,True,Bay of Plenty,-37.674788820835964,176.22412778558203,Community
Chemist Warehouse Bethlehem,91.0,True,Bay of Plenty,-37.6936623,176.10962900000004,Community
Chemist Warehouse Birkenhead,77.5,True,Waitematā DHB,-36.81095980000001,174.7247724,Community
Chemist Warehouse Blenheim Square,91.0,False,Canterbury,-43.5385157,172.5895104,Community
Chemist Warehouse Botany,91.0,True,CM Health,-36.9281598,174.91454669999996,Community
Chemist Warehouse Botany Town Centre ,77.0,True,CM Health,-36.932606781491295,174.9132227897644,Community
Chemist Warehouse Browns Bay,70.5,True,Waitematā DHB,-36.71647100000001,174.7478944,Community
Chemist Warehouse Cambridge,82.0,True,Waikato,-37.8906653,175.4711406,Community
Chemist Warehouse Cameron Road,77.0,True,Bay of Plenty,-37.6884518,176.1655767,Community
